product_id,order_month,monthly_quantity_sold,monthly_revenue
153019,2023-03,2,1895.9
153019,2023-04,0,0.0
153019,2023-05,0,0.0
153019,2023-06,3,2843.8500000000004
153019,2023-07,0,0.0
153019,2023-08,12,11375.400000000001
153019,2023-09,3,2843.8500000000004
153019,2023-10,0,0.0
153019,2023-11,6,5687.700000000001
153019,2023-12,1,947.95
153019,2024-01,0,0.0
153019,2024-02,2,1895.9
153019,2024-03,3,2843.8500000000004
153019,2024-04,0,0.0
153019,2024-05,0,0.0
153019,2024-06,0,0.0
153019,2024-07,2,1895.9
153019,2024-08,2,1895.9
153019,2024-09,0,0.0
153019,2024-10,5,4739.75
153019,2024-11,0,0.0
11422,2023-03,2,254.32
11422,2023-04,0,0.0
11422,2023-05,0,0.0
11422,2023-06,1,127.16
11422,2023-07,0,0.0
11422,2023-08,1,127.16
11422,2023-09,1,127.16
11422,2023-10,6,762.96
11422,2023-11,1,127.16
11422,2023-12,3,381.48
11422,2024-01,2,254.32
11422,2024-02,0,0.0
11422,2024-03,2,254.32
11422,2024-04,2,254.32
11422,2024-05,0,0.0
11422,2024-06,5,635.8
11422,2024-07,0,0.0
11422,2024-08,0,0.0
11422,2024-09,0,0.0
11422,2024-10,1,127.16
11422,2024-11,0,0.0
669378,2023-03,0,0.0
669378,2023-04,2,424.28
669378,2023-05,1,212.14
669378,2023-06,4,848.56
669378,2023-07,0,0.0
669378,2023-08,0,0.0
669378,2023-09,0,0.0
669378,2023-10,7,1484.98
669378,2023-11,0,0.0
669378,2023-12,3,636.42
669378,2024-01,0,0.0
669378,2024-02,0,0.0
669378,2024-03,8,1697.12
669378,2024-04,2,424.28
669378,2024-05,4,848.56
669378,2024-06,0,0.0
669378,2024-07,0,0.0
669378,2024-08,4,848.56
669378,2024-09,3,636.42
669378,2024-10,3,636.42
669378,2024-11,0,0.0
848226,2023-03,1,209.59
848226,2023-04,5,1047.95
848226,2023-05,3,628.77
848226,2023-06,1,209.59
848226,2023-07,3,628.77
848226,2023-08,0,0.0
848226,2023-09,2,419.18
848226,2023-10,0,0.0
848226,2023-11,1,209.59
848226,2023-12,1,209.59
848226,2024-01,4,838.36
848226,2024-02,0,0.0
848226,2024-03,0,0.0
848226,2024-04,2,419.18
848226,2024-05,2,419.18
848226,2024-06,0,0.0
848226,2024-07,3,628.77
848226,2024-08,0,0.0
848226,2024-09,2,419.18
848226,2024-10,1,209.59
848226,2024-11,0,0.0
890623,2023-03,0,0.0
890623,2023-04,0,0.0
890623,2023-05,1,354.52
890623,2023-06,0,0.0
890623,2023-07,4,1418.08
890623,2023-08,1,354.52
890623,2023-09,0,0.0
890623,2023-10,0,0.0
890623,2023-11,2,709.04
890623,2023-12,0,0.0
890623,2024-01,0,0.0
890623,2024-02,1,354.52
890623,2024-03,0,0.0
890623,2024-04,1,354.52
890623,2024-05,0,0.0
890623,2024-06,0,0.0
890623,2024-07,0,0.0
890623,2024-08,3,1063.56
890623,2024-09,0,0.0
890623,2024-10,0,0.0
890623,2024-11,0,0.0
965755,2023-03,0,0.0
965755,2023-04,3,1597.71
965755,2023-05,0,0.0
965755,2023-06,2,1065.14
965755,2023-07,1,532.57
965755,2023-08,0,0.0
965755,2023-09,1,532.57
965755,2023-10,5,2662.8500000000004
965755,2023-11,0,0.0
965755,2023-12,5,2662.8500000000004
965755,2024-01,4,2130.28
965755,2024-02,0,0.0
965755,2024-03,2,1065.14
965755,2024-04,0,0.0
965755,2024-05,0,0.0
965755,2024-06,0,0.0
965755,2024-07,6,3195.42
965755,2024-08,0,0.0
965755,2024-09,0,0.0
965755,2024-10,0,0.0
965755,2024-11,0,0.0
222892,2023-03,0,0.0
222892,2023-04,2,1738.44
222892,2023-05,3,2607.66
222892,2023-06,0,0.0
222892,2023-07,4,3476.88
222892,2023-08,0,0.0
222892,2023-09,0,0.0
222892,2023-10,14,12169.08
222892,2023-11,0,0.0
222892,2023-12,0,0.0
222892,2024-01,0,0.0
222892,2024-02,0,0.0
222892,2024-03,2,1738.44
222892,2024-04,1,869.22
222892,2024-05,5,4346.1
222892,2024-06,1,869.22
222892,2024-07,3,2607.66
222892,2024-08,1,869.22
222892,2024-09,3,2607.66
222892,2024-10,0,0.0
222892,2024-11,0,0.0
516376,2023-03,0,0.0
516376,2023-04,7,6142.01
516376,2023-05,4,3509.72
516376,2023-06,0,0.0
516376,2023-07,3,2632.29
516376,2023-08,0,0.0
516376,2023-09,0,0.0
516376,2023-10,3,2632.29
516376,2023-11,5,4387.15
516376,2023-12,3,2632.29
516376,2024-01,0,0.0
516376,2024-02,3,2632.29
516376,2024-03,4,3509.72
516376,2024-04,4,3509.72
516376,2024-05,3,2632.29
516376,2024-06,0,0.0
516376,2024-07,2,1754.86
516376,2024-08,0,0.0
516376,2024-09,0,0.0
516376,2024-10,1,877.43
516376,2024-11,0,0.0
39154,2023-03,0,0.0
39154,2023-04,5,4734.3
39154,2023-05,1,946.86
39154,2023-06,4,3787.44
39154,2023-07,4,3787.44
39154,2023-08,3,2840.58
39154,2023-09,3,2840.58
39154,2023-10,0,0.0
39154,2023-11,0,0.0
39154,2023-12,1,946.86
39154,2024-01,3,2840.58
39154,2024-02,0,0.0
39154,2024-03,5,4734.3
39154,2024-04,2,1893.72
39154,2024-05,5,4734.3
39154,2024-06,0,0.0
39154,2024-07,0,0.0
39154,2024-08,3,2840.58
39154,2024-09,1,946.86
39154,2024-10,0,0.0
39154,2024-11,0,0.0
34186,2023-03,0,0.0
34186,2023-04,11,10182.15
34186,2023-05,2,1851.3
34186,2023-06,3,2776.95
34186,2023-07,0,0.0
34186,2023-08,3,2776.95
34186,2023-09,6,5553.9
34186,2023-10,0,0.0
34186,2023-11,0,0.0
34186,2023-12,2,1851.3
34186,2024-01,5,4628.25
34186,2024-02,5,4628.25
34186,2024-03,1,925.65
34186,2024-04,1,925.65
34186,2024-05,2,1851.3
34186,2024-06,2,1851.3
34186,2024-07,9,8330.85
34186,2024-08,4,3702.6
34186,2024-09,1,925.65
34186,2024-10,4,3702.6
34186,2024-11,0,0.0
196719,2023-03,0,0.0
196719,2023-04,0,0.0
196719,2023-05,2,435.0
196719,2023-06,0,0.0
196719,2023-07,2,435.0
196719,2023-08,0,0.0
196719,2023-09,3,652.5
196719,2023-10,0,0.0
196719,2023-11,2,435.0
196719,2023-12,2,435.0
196719,2024-01,0,0.0
196719,2024-02,2,435.0
196719,2024-03,0,0.0
196719,2024-04,0,0.0
196719,2024-05,1,217.5
196719,2024-06,4,870.0
196719,2024-07,2,435.0
196719,2024-08,3,652.5
196719,2024-09,4,870.0
196719,2024-10,0,0.0
196719,2024-11,0,0.0
478531,2023-03,4,3301.84
478531,2023-04,8,6603.68
478531,2023-05,0,0.0
478531,2023-06,0,0.0
478531,2023-07,0,0.0
478531,2023-08,9,7429.14
478531,2023-09,2,1650.92
478531,2023-10,1,825.46
478531,2023-11,0,0.0
478531,2023-12,0,0.0
478531,2024-01,3,2476.38
478531,2024-02,7,5778.22
478531,2024-03,2,1650.92
478531,2024-04,0,0.0
478531,2024-05,4,3301.84
478531,2024-06,3,2476.38
478531,2024-07,4,3301.84
478531,2024-08,3,2476.38
478531,2024-09,3,2476.38
478531,2024-10,0,0.0
478531,2024-11,0,0.0
812607,2023-03,2,833.3
812607,2023-04,1,416.65
812607,2023-05,3,1249.9499999999998
812607,2023-06,0,0.0
812607,2023-07,0,0.0
812607,2023-08,0,0.0
812607,2023-09,0,0.0
812607,2023-10,6,2499.8999999999996
812607,2023-11,0,0.0
812607,2023-12,5,2083.25
812607,2024-01,0,0.0
812607,2024-02,3,1249.9499999999998
812607,2024-03,0,0.0
812607,2024-04,4,1666.6
812607,2024-05,2,833.3
812607,2024-06,0,0.0
812607,2024-07,3,1249.9499999999998
812607,2024-08,3,1249.9499999999998
812607,2024-09,5,2083.25
812607,2024-10,2,833.3
812607,2024-11,2,833.3
818990,2023-03,0,0.0
818990,2023-04,5,817.75
818990,2023-05,2,327.1
818990,2023-06,0,0.0
818990,2023-07,0,0.0
818990,2023-08,2,327.1
818990,2023-09,3,490.65000000000003
818990,2023-10,0,0.0
818990,2023-11,0,0.0
818990,2023-12,1,163.55
818990,2024-01,2,327.1
818990,2024-02,0,0.0
818990,2024-03,0,0.0
818990,2024-04,3,490.65000000000003
818990,2024-05,3,490.65000000000003
818990,2024-06,0,0.0
818990,2024-07,1,163.55
818990,2024-08,2,327.1
818990,2024-09,0,0.0
818990,2024-10,3,490.65000000000003
818990,2024-11,0,0.0
14145,2023-03,3,1892.52
14145,2023-04,2,1261.68
14145,2023-05,6,3785.04
14145,2023-06,2,1261.68
14145,2023-07,5,3154.2
14145,2023-08,5,3154.2
14145,2023-09,6,3785.04
14145,2023-10,0,0.0
14145,2023-11,0,0.0
14145,2023-12,1,630.84
14145,2024-01,1,630.84
14145,2024-02,1,630.84
14145,2024-03,0,0.0
14145,2024-04,1,630.84
14145,2024-05,0,0.0
14145,2024-06,4,2523.36
14145,2024-07,1,630.84
14145,2024-08,1,630.84
14145,2024-09,1,630.84
14145,2024-10,0,0.0
14145,2024-11,0,0.0
349294,2023-03,2,1869.5
349294,2023-04,0,0.0
349294,2023-05,2,1869.5
349294,2023-06,2,1869.5
349294,2023-07,6,5608.5
349294,2023-08,3,2804.25
349294,2023-09,8,7478.0
349294,2023-10,2,1869.5
349294,2023-11,0,0.0
349294,2023-12,3,2804.25
349294,2024-01,0,0.0
349294,2024-02,4,3739.0
349294,2024-03,2,1869.5
349294,2024-04,2,1869.5
349294,2024-05,0,0.0
349294,2024-06,0,0.0
349294,2024-07,0,0.0
349294,2024-08,4,3739.0
349294,2024-09,3,2804.25
349294,2024-10,3,2804.25
349294,2024-11,2,1869.5
847349,2023-03,0,0.0
847349,2023-04,6,4686.4800000000005
847349,2023-05,2,1562.16
847349,2023-06,0,0.0
847349,2023-07,2,1562.16
847349,2023-08,4,3124.32
847349,2023-09,3,2343.2400000000002
847349,2023-10,0,0.0
847349,2023-11,2,1562.16
847349,2023-12,3,2343.2400000000002
847349,2024-01,0,0.0
847349,2024-02,0,0.0
847349,2024-03,1,781.08
847349,2024-04,0,0.0
847349,2024-05,0,0.0
847349,2024-06,4,3124.32
847349,2024-07,4,3124.32
847349,2024-08,0,0.0
847349,2024-09,0,0.0
847349,2024-10,2,1562.16
847349,2024-11,0,0.0
871592,2023-03,0,0.0
871592,2023-04,2,1740.58
871592,2023-05,0,0.0
871592,2023-06,0,0.0
871592,2023-07,0,0.0
871592,2023-08,5,4351.45
871592,2023-09,0,0.0
871592,2023-10,5,4351.45
871592,2023-11,1,870.29
871592,2023-12,0,0.0
871592,2024-01,3,2610.87
871592,2024-02,0,0.0
871592,2024-03,0,0.0
871592,2024-04,0,0.0
871592,2024-05,5,4351.45
871592,2024-06,6,5221.74
871592,2024-07,1,870.29
871592,2024-08,1,870.29
871592,2024-09,0,0.0
871592,2024-10,5,4351.45
871592,2024-11,1,870.29
284460,2023-03,0,0.0
284460,2023-04,0,0.0
284460,2023-05,2,1011.9
284460,2023-06,0,0.0
284460,2023-07,3,1517.85
284460,2023-08,3,1517.85
284460,2023-09,0,0.0
284460,2023-10,0,0.0
284460,2023-11,2,1011.9
284460,2023-12,0,0.0
284460,2024-01,0,0.0
284460,2024-02,1,505.95
284460,2024-03,0,0.0
284460,2024-04,0,0.0
284460,2024-05,0,0.0
284460,2024-06,0,0.0
284460,2024-07,2,1011.9
284460,2024-08,5,2529.75
284460,2024-09,1,505.95
284460,2024-10,4,2023.8
284460,2024-11,0,0.0
473929,2023-03,0,0.0
473929,2023-04,0,0.0
473929,2023-05,1,440.19
473929,2023-06,0,0.0
473929,2023-07,4,1760.76
473929,2023-08,2,880.38
473929,2023-09,0,0.0
473929,2023-10,4,1760.76
473929,2023-11,4,1760.76
473929,2023-12,0,0.0
473929,2024-01,0,0.0
473929,2024-02,0,0.0
473929,2024-03,4,1760.76
473929,2024-04,0,0.0
473929,2024-05,4,1760.76
473929,2024-06,0,0.0
473929,2024-07,3,1320.57
473929,2024-08,3,1320.57
473929,2024-09,1,440.19
473929,2024-10,3,1320.57
473929,2024-11,0,0.0
77308,2023-03,0,0.0
77308,2023-04,2,446.54
77308,2023-05,2,446.54
77308,2023-06,2,446.54
77308,2023-07,0,0.0
77308,2023-08,2,446.54
77308,2023-09,5,1116.3500000000001
77308,2023-10,0,0.0
77308,2023-11,2,446.54
77308,2023-12,8,1786.16
77308,2024-01,1,223.27
77308,2024-02,1,223.27
77308,2024-03,0,0.0
77308,2024-04,0,0.0
77308,2024-05,4,893.08
77308,2024-06,3,669.8100000000001
77308,2024-07,3,669.8100000000001
77308,2024-08,3,669.8100000000001
77308,2024-09,0,0.0
77308,2024-10,1,223.27
77308,2024-11,0,0.0
654297,2023-03,0,0.0
654297,2023-04,0,0.0
654297,2023-05,0,0.0
654297,2023-06,3,39.75
654297,2023-07,0,0.0
654297,2023-08,4,53.0
654297,2023-09,4,53.0
654297,2023-10,0,0.0
654297,2023-11,1,13.25
654297,2023-12,1,13.25
654297,2024-01,2,26.5
654297,2024-02,6,79.5
654297,2024-03,0,0.0
654297,2024-04,0,0.0
654297,2024-05,4,53.0
654297,2024-06,1,13.25
654297,2024-07,6,79.5
654297,2024-08,1,13.25
654297,2024-09,0,0.0
654297,2024-10,3,39.75
654297,2024-11,0,0.0
70969,2023-03,0,0.0
70969,2023-04,3,1895.1000000000001
70969,2023-05,0,0.0
70969,2023-06,0,0.0
70969,2023-07,2,1263.4
70969,2023-08,1,631.7
70969,2023-09,1,631.7
70969,2023-10,5,3158.5
70969,2023-11,0,0.0
70969,2023-12,0,0.0
70969,2024-01,0,0.0
70969,2024-02,3,1895.1000000000001
70969,2024-03,3,1895.1000000000001
70969,2024-04,1,631.7
70969,2024-05,2,1263.4
70969,2024-06,0,0.0
70969,2024-07,0,0.0
70969,2024-08,2,1263.4
70969,2024-09,2,1263.4
70969,2024-10,0,0.0
70969,2024-11,0,0.0
552883,2023-03,0,0.0
552883,2023-04,0,0.0
552883,2023-05,4,3552.64
552883,2023-06,0,0.0
552883,2023-07,2,1776.32
552883,2023-08,2,1776.32
552883,2023-09,0,0.0
552883,2023-10,3,2664.48
552883,2023-11,0,0.0
552883,2023-12,0,0.0
552883,2024-01,5,4440.8
552883,2024-02,3,2664.48
552883,2024-03,3,2664.48
552883,2024-04,0,0.0
552883,2024-05,1,888.16
552883,2024-06,0,0.0
552883,2024-07,0,0.0
552883,2024-08,0,0.0
552883,2024-09,3,2664.48
552883,2024-10,3,2664.48
552883,2024-11,0,0.0
952124,2023-03,3,381.24
952124,2023-04,0,0.0
952124,2023-05,1,127.08
952124,2023-06,0,0.0
952124,2023-07,5,635.4
952124,2023-08,2,254.16
952124,2023-09,1,127.08
952124,2023-10,1,127.08
952124,2023-11,0,0.0
952124,2023-12,7,889.56
952124,2024-01,0,0.0
952124,2024-02,1,127.08
952124,2024-03,7,889.56
952124,2024-04,2,254.16
952124,2024-05,4,508.32
952124,2024-06,0,0.0
952124,2024-07,1,127.08
952124,2024-08,1,127.08
952124,2024-09,0,0.0
952124,2024-10,3,381.24
952124,2024-11,0,0.0
397973,2023-03,0,0.0
397973,2023-04,6,4372.38
397973,2023-05,4,2914.92
397973,2023-06,3,2186.19
397973,2023-07,0,0.0
397973,2023-08,2,1457.46
397973,2023-09,5,3643.65
397973,2023-10,0,0.0
397973,2023-11,1,728.73
