product_id,hist_total_quantity,hist_total_revenue,hist_total_orders,hist_mean_monthly_quantity,hist_std_monthly_quantity,hist_max_monthly_quantity,hist_mean_monthly_revenue,hist_std_monthly_revenue,hist_active_months,future_3m_quantity,future_3m_revenue,future_3m_orders,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,hist_demand_cv,hist_revenue_cv,hist_sales_frequency,estimated_hist_profit,discount_rate,future_revenue_rank,high_future_performance,cutoff_month,target_start_month,target_end_month,fold_id
153019,18,17063.100000000002,8,3.0,4.6475800154489,12,2843.8500000000004,4405.673475644786,3,7,6635.650000000001,3,Onions,Fruits & Vegetables,Aurora LLC,947.95,1263.93,25.0,3,13,88,1.5491933384829668,1.5491933384829668,0.5,4265.775000000001,0.24999802204235994,27.0,1,2023-09,2023-10,2023-12,6
11422,3,381.48,3,0.5,0.5477225575051662,1,63.580000000000005,69.64840041235692,3,10,1271.6,5,Potatoes,Fruits & Vegetables,Ramaswamy-Tata,127.16,169.55,25.0,3,20,65,1.0954451150103324,1.0954451150103321,0.5,95.37,0.25001474491300507,180.0,0,2023-09,2023-10,2023-12,6
669378,7,1484.98,4,1.1666666666666667,1.602081978759722,4,247.49666666666667,339.8656709740874,3,10,2121.4,5,Potatoes,Fruits & Vegetables,Chadha and Sons,212.14,282.85,25.0,3,23,70,1.3732131246511903,1.37321312465119,0.5,371.245,0.24999116139296457,135.0,0,2023-09,2023-10,2023-12,6
848226,14,2934.26,6,2.3333333333333335,1.7511900715418263,5,489.04333333333335,367.03192709445136,5,2,419.18,2,Tomatoes,Fruits & Vegetables,Barad and Sons,209.59,279.45,25.0,3,10,51,0.7505100306607826,0.7505100306607827,0.8333333333333334,733.565,0.24999105385578813,229.0,0,2023-09,2023-10,2023-12,6
890623,6,2127.12,4,1.0,1.5491933384829666,4,354.52,549.2200223589813,3,2,709.04,1,Onions,Fruits & Vegetables,"Sangha, Nagar and Varty",354.52,472.69,25.0,3,27,55,1.5491933384829666,1.5491933384829666,0.5,531.78,0.24999471112145386,204.0,0,2023-09,2023-10,2023-12,6
965755,7,3727.9900000000002,4,1.1666666666666667,1.1690451944500122,3,621.3316666666667,622.598399208243,4,10,5325.700000000001,5,Bananas,Fruits & Vegetables,"Doshi, Sarraf and Sama",532.57,710.09,25.0,3,21,91,1.0020387381000104,1.0020387381000104,0.6666666666666666,931.9975,0.24999647931952285,37.0,1,2023-09,2023-10,2023-12,6
222892,9,7822.98,6,1.5,1.760681686165901,4,1303.83,1530.4197352491244,3,14,12169.08,6,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,869.22,1158.96,25.0,3,28,88,1.1737877907772674,1.1737877907772674,0.5,1955.745,0.25,6.0,1,2023-09,2023-10,2023-12,6
516376,14,12284.02,7,2.3333333333333335,2.875181153713043,7,2047.3366666666668,2522.770199702435,3,11,9651.73,4,Onions,Fruits & Vegetables,Agarwal-Dhar,877.43,1169.91,25.0,3,21,71,1.232220494448447,1.2322204944484467,0.5,3071.005,0.250002136916515,13.0,1,2023-09,2023-10,2023-12,6
39154,20,18937.2,9,3.3333333333333335,1.3662601021279464,5,3156.2000000000003,1293.6570403008675,6,1,946.86,1,Mangoes,Fruits & Vegetables,"Suresh, Bose and Bajwa",946.86,1262.48,25.0,3,21,84,0.4098780306383839,0.40987803063838396,1.0,4734.3,0.25,191.0,0,2023-09,2023-10,2023-12,6
34186,25,23141.25,9,4.166666666666667,3.8686776379877745,11,3856.875,3581.0414556033834,5,2,1851.3,1,Mangoes,Fruits & Vegetables,Mandal-Kar,925.65,1234.2,25.0,3,27,74,0.9284826331170658,0.9284826331170658,0.8333333333333334,5785.3125,0.25000000000000006,151.0,0,2023-09,2023-10,2023-12,6
196719,7,1522.5,3,1.1666666666666667,1.3291601358251257,3,253.75,289.09232954196483,3,4,870.0,2,Bananas,Fruits & Vegetables,Yogi Group,217.5,290.0,25.0,3,15,91,1.1392801164215363,1.1392801164215363,0.5,380.625,0.25,195.0,0,2023-09,2023-10,2023-12,6
478531,19,15683.740000000002,10,3.1666666666666665,4.215052391924289,9,2613.956666666667,3479.3571474378236,3,1,825.46,1,Carrots,Fruits & Vegetables,Uppal Group,825.46,1100.61,25.0,3,24,90,1.3310691763971438,1.3310691763971438,0.5,3920.9350000000004,0.24999772853235921,199.0,0,2023-09,2023-10,2023-12,6
812607,4,1666.6,2,0.6666666666666666,1.2110601416389966,3,277.76666666666665,504.5882080138879,2,11,4583.15,6,Potatoes,Fruits & Vegetables,Rege Group,416.65,555.53,25.0,3,11,63,1.816590212458495,1.8165902124584947,0.3333333333333333,416.65,0.2499954997929905,53.0,1,2023-09,2023-10,2023-12,6
818990,12,1962.6000000000001,5,2.0,1.8973665961010275,5,327.1,310.31430679232307,4,1,163.55,1,Tomatoes,Fruits & Vegetables,Dugar Group,163.55,218.07,25.0,3,22,92,0.9486832980505138,0.9486832980505138,0.6666666666666666,490.65,0.25001146420874026,243.0,0,2023-09,2023-10,2023-12,6
14145,26,16401.84,11,4.333333333333333,1.8618986725025257,6,2733.64,1174.5601585614934,6,1,630.84,1,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",630.84,841.12,25.0,3,14,53,0.42966892442365984,0.42966892442365984,1.0,4100.46,0.24999999999999997,211.0,0,2023-09,2023-10,2023-12,6
349294,21,19629.75,8,3.5,2.949576240750525,8,3271.625,2757.1163910415535,5,5,4673.75,2,Onions,Fruits & Vegetables,Ganesan Ltd,934.75,1246.33,25.0,3,25,70,0.8427360687858643,0.8427360687858644,0.8333333333333334,4907.4375,0.249997994110709,51.0,1,2023-09,2023-10,2023-12,6
847349,17,13278.36,7,2.8333333333333335,2.041241452319315,6,2213.06,1594.3728735775708,5,5,3905.4000000000005,2,Potatoes,Fruits & Vegetables,Chhabra-Agrawal,781.08,1041.44,25.0,3,26,69,0.7204381596421112,0.7204381596421113,0.8333333333333334,3319.59,0.25,67.0,1,2023-09,2023-10,2023-12,6
871592,7,6092.03,3,1.1666666666666667,2.0412414523193148,5,1015.3383333333333,1776.4720235389768,2,6,5221.74,3,Carrots,Fruits & Vegetables,"Shankar, Nadkarni and Kumer",870.29,1160.39,25.0,3,25,50,1.7496355305594125,1.7496355305594131,0.3333333333333333,1523.0075,0.2500021544480736,40.0,1,2023-09,2023-10,2023-12,6
284460,8,4047.6,4,1.3333333333333333,1.505545305418162,3,674.6,761.730647276319,3,2,1011.9,1,Potatoes,Fruits & Vegetables,"Ramakrishnan, Anand and Khare",505.95,674.6,25.0,3,21,85,1.1291589790636216,1.1291589790636214,0.5,1011.9,0.25000000000000006,187.0,0,2023-09,2023-10,2023-12,6
473929,7,3081.33,5,1.1666666666666667,1.6020819787597218,4,513.555,705.2204662302421,3,8,3521.52,4,Carrots,Fruits & Vegetables,"Bhardwaj, Bhatia and Deshmukh",440.19,586.92,25.0,3,19,70,1.37321312465119,1.3732131246511905,0.5,770.3325,0.24999999999999994,78.0,0,2023-09,2023-10,2023-12,6
77308,13,2902.51,7,2.1666666666666665,1.602081978759722,5,483.7516666666667,357.69684339768315,5,10,2232.7000000000003,6,Onions,Fruits & Vegetables,Ratta-Sagar,223.27,297.69,25.0,3,29,91,0.7394224517352563,0.7394224517352562,0.8333333333333334,725.6275,0.24999160200208267,130.0,0,2023-09,2023-10,2023-12,6
654297,11,145.75,5,1.8333333333333333,2.041241452319315,4,24.291666666666668,27.046449243230928,3,2,26.5,2,Potatoes,Fruits & Vegetables,Chandran-Dass,13.25,17.67,25.0,3,20,86,1.1134044285378084,1.1134044285378082,0.5,36.4375,0.2501414827391059,249.0,0,2023-09,2023-10,2023-12,6
70969,7,4421.900000000001,4,1.1666666666666667,1.1690451944500122,3,736.9833333333335,738.4858493340727,4,5,3158.5,3,Carrots,Fruits & Vegetables,Mohan Group,631.7,842.27,25.0,3,25,96,1.0020387381000104,1.0020387381000102,0.6666666666666666,1105.4750000000001,0.2500029681693518,95.0,0,2023-09,2023-10,2023-12,6
