product_id,hist_total_quantity,hist_total_revenue,hist_total_orders,hist_mean_monthly_quantity,hist_std_monthly_quantity,hist_max_monthly_quantity,hist_mean_monthly_revenue,hist_std_monthly_revenue,hist_active_months,future_3m_quantity,future_3m_revenue,future_3m_orders,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,hist_demand_cv,hist_revenue_cv,hist_sales_frequency,estimated_hist_profit,discount_rate,high_future_performance,cutoff_month,target_start_month,target_end_month,fold_id
153019,17,16115.150000000001,8,2.8333333333333335,4.665476038590989,12,2685.8583333333336,4422.638010782328,3,9,8531.550000000001,4,Onions,Fruits & Vegetables,Aurora LLC,947.95,1263.93,25.0,3,13,88,1.6466386018556431,1.646638601855643,0.5,4028.7875000000004,0.24999802204235994,1,2023-08,2023-09,2023-11,6
11422,4,508.64,3,0.6666666666666666,0.816496580927726,2,84.77333333333333,103.82570523076964,3,8,1017.28,4,Potatoes,Fruits & Vegetables,Ramaswamy-Tata,127.16,169.55,25.0,3,20,65,1.2247448713915892,1.2247448713915892,0.5,127.16,0.25001474491300507,0,2023-08,2023-09,2023-11,6
669378,7,1484.98,4,1.1666666666666667,1.602081978759722,4,247.49666666666667,339.8656709740874,3,7,1484.98,4,Potatoes,Fruits & Vegetables,Chadha and Sons,212.14,282.85,25.0,3,23,70,1.3732131246511903,1.37321312465119,0.5,371.245,0.24999116139296457,0,2023-08,2023-09,2023-11,6
848226,13,2724.67,6,2.1666666666666665,1.8348478592697182,5,454.1116666666667,384.5657628243402,5,3,628.77,2,Tomatoes,Fruits & Vegetables,Barad and Sons,209.59,279.45,25.0,3,10,51,0.8468528581244854,0.8468528581244852,0.8333333333333334,681.1675,0.24999105385578813,0,2023-08,2023-09,2023-11,6
890623,6,2127.12,4,1.0,1.5491933384829668,4,354.52,549.2200223589813,3,2,709.04,1,Onions,Fruits & Vegetables,"Sangha, Nagar and Varty",354.52,472.69,25.0,3,27,55,1.5491933384829668,1.5491933384829666,0.5,531.78,0.24999471112145386,0,2023-08,2023-09,2023-11,6
965755,6,3195.42,3,1.0,1.2649110640673518,3,532.57,673.6536853903496,3,6,3195.4200000000005,3,Bananas,Fruits & Vegetables,"Doshi, Sarraf and Sama",532.57,710.09,25.0,3,21,91,1.2649110640673518,1.2649110640673518,0.5,798.855,0.24999647931952285,0,2023-08,2023-09,2023-11,6
222892,9,7822.98,6,1.5,1.760681686165901,4,1303.83,1530.4197352491244,3,14,12169.08,6,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,869.22,1158.96,25.0,3,28,88,1.1737877907772674,1.1737877907772674,0.5,1955.745,0.25,1,2023-08,2023-09,2023-11,6
516376,14,12284.02,7,2.3333333333333335,2.875181153713043,7,2047.3366666666668,2522.7701997024355,3,8,7019.44,3,Onions,Fruits & Vegetables,Agarwal-Dhar,877.43,1169.91,25.0,3,21,71,1.232220494448447,1.232220494448447,0.5,3071.005,0.250002136916515,1,2023-08,2023-09,2023-11,6
39154,17,16096.62,8,2.8333333333333335,1.9407902170679516,5,2682.77,1837.6566249329608,5,3,2840.58,1,Mangoes,Fruits & Vegetables,"Suresh, Bose and Bajwa",946.86,1262.48,25.0,3,21,84,0.6849847824945712,0.6849847824945712,0.8333333333333334,4024.155,0.25,0,2023-08,2023-09,2023-11,6
34186,19,17587.35,7,3.1666666666666665,4.070217029430577,11,2931.225,3767.596393292413,4,6,5553.9,2,Mangoes,Fruits & Vegetables,Mandal-Kar,925.65,1234.2,25.0,3,27,74,1.2853316935043926,1.2853316935043926,0.6666666666666666,4396.8375,0.25000000000000006,1,2023-08,2023-09,2023-11,6
196719,4,870.0,2,0.6666666666666666,1.0327955589886446,2,145.0,224.63303408003017,2,5,1087.5,2,Bananas,Fruits & Vegetables,Yogi Group,217.5,290.0,25.0,3,15,91,1.549193338482967,1.5491933384829668,0.3333333333333333,217.5,0.25,0,2023-08,2023-09,2023-11,6
478531,21,17334.66,11,3.5,4.183300132670378,9,2889.11,3453.14692751409,3,3,2476.38,2,Carrots,Fruits & Vegetables,Uppal Group,825.46,1100.61,25.0,3,24,90,1.1952286093343936,1.1952286093343936,0.5,4333.665,0.24999772853235921,0,2023-08,2023-09,2023-11,6
812607,6,2499.8999999999996,3,1.0,1.2649110640673518,3,416.6499999999999,527.025194843662,3,6,2499.8999999999996,3,Potatoes,Fruits & Vegetables,Rege Group,416.65,555.53,25.0,3,11,63,1.2649110640673518,1.2649110640673518,0.5,624.9749999999999,0.2499954997929905,0,2023-08,2023-09,2023-11,6
818990,9,1471.95,4,1.5,1.9748417658131499,5,245.32500000000002,322.98537079874063,3,3,490.65000000000003,1,Tomatoes,Fruits & Vegetables,Dugar Group,163.55,218.07,25.0,3,22,92,1.3165611772087666,1.3165611772087664,0.5,367.9875,0.25001146420874026,0,2023-08,2023-09,2023-11,6
14145,23,14509.32,9,3.8333333333333335,1.7224014243685084,6,2418.22,1086.55971454863,6,6,3785.04,3,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",630.84,841.12,25.0,3,14,53,0.44932211070482825,0.44932211070482836,1.0,3627.33,0.24999999999999997,0,2023-08,2023-09,2023-11,6
349294,15,14021.25,6,2.5,1.9748417658131499,6,2336.875,1845.9833405938418,5,10,9347.5,4,Onions,Fruits & Vegetables,Ganesan Ltd,934.75,1246.33,25.0,3,25,70,0.7899367063252599,0.7899367063252599,0.8333333333333334,3505.3125,0.249997994110709,1,2023-08,2023-09,2023-11,6
847349,14,10935.12,6,2.3333333333333335,2.3380903889000244,6,1822.5200000000002,1826.2356409620313,4,5,3905.4000000000005,2,Potatoes,Fruits & Vegetables,Chhabra-Agrawal,781.08,1041.44,25.0,3,26,69,1.0020387381000104,1.0020387381000104,0.6666666666666666,2733.78,0.25,0,2023-08,2023-09,2023-11,6
871592,7,6092.03,3,1.1666666666666667,2.0412414523193148,5,1015.3383333333333,1776.4720235389766,2,6,5221.74,3,Carrots,Fruits & Vegetables,"Shankar, Nadkarni and Kumer",870.29,1160.39,25.0,3,25,50,1.7496355305594125,1.749635530559413,0.3333333333333333,1523.0075,0.2500021544480736,1,2023-08,2023-09,2023-11,6
284460,8,4047.6,4,1.3333333333333333,1.505545305418162,3,674.6,761.730647276319,3,2,1011.9,1,Potatoes,Fruits & Vegetables,"Ramakrishnan, Anand and Khare",505.95,674.6,25.0,3,21,85,1.1291589790636216,1.1291589790636214,0.5,1011.9,0.25000000000000006,0,2023-08,2023-09,2023-11,6
473929,7,3081.33,5,1.1666666666666667,1.6020819787597222,4,513.555,705.2204662302421,3,8,3521.52,4,Carrots,Fruits & Vegetables,"Bhardwaj, Bhatia and Deshmukh",440.19,586.92,25.0,3,19,70,1.3732131246511905,1.3732131246511905,0.5,770.3325,0.24999999999999994,0,2023-08,2023-09,2023-11,6
77308,8,1786.16,5,1.3333333333333333,1.0327955589886446,2,297.6933333333333,230.59226445539468,4,7,1562.89,3,Onions,Fruits & Vegetables,Ratta-Sagar,223.27,297.69,25.0,3,29,91,0.7745966692414835,0.7745966692414835,0.6666666666666666,446.54,0.24999160200208267,0,2023-08,2023-09,2023-11,6
654297,7,92.75,3,1.1666666666666667,1.834847859269718,4,15.458333333333334,24.311734135323764,2,5,66.25,3,Potatoes,Fruits & Vegetables,Chandran-Dass,13.25,17.67,25.0,3,20,86,1.572726736516901,1.572726736516901,0.3333333333333333,23.1875,0.2501414827391059,0,2023-08,2023-09,2023-11,6
70969,6,3790.2000000000003,3,1.0,1.2649110640673518,3,631.7,799.0443191713462,3,6,3790.2,4,Carrots,Fruits & Vegetables,Mohan Group,631.7,842.27,25.0,3,25,96,1.2649110640673518,1.2649110640673518,0.5,947.55,0.2500029681693518,0,2023-08,2023-09,2023-11,6
552883,8,7105.28,5,1.3333333333333333,1.632993161855452,4,1184.2133333333334,1450.3592066335382,3,3,2664.48,1,Potatoes,Fruits & Vegetables,"Balan, Patel and Mall",888.16,1184.21,25.0,3,18,94,1.2247448713915892,1.224744871391589,0.5,1776.32,0.24999788888795066,0,2023-08,2023-09,2023-11,6
952124,11,1397.8799999999999,5,1.8333333333333333,1.9407902170679516,5,232.98,246.6356207849953,4,2,254.16,2,Onions,Fruits & Vegetables,"Wali, Sood and Bala",127.08,169.44,25.0,3,15,50,1.0586128456734283,1.0586128456734283,0.6666666666666666,349.47,0.25,0,2023-08,2023-09,2023-11,6
397973,15,10930.95,8,2.5,2.345207879911715,6,1821.825,1709.0233383280638,4,6,4372.38,3,Bananas,Fruits & Vegetables,"Wable, Randhawa and Mutti",728.73,971.64,25.0,3,27,82,0.938083151964686,0.9380831519646858,0.6666666666666666,2732.7375,0.24999999999999997,0,2023-08,2023-09,2023-11,6
555121,9,3194.1900000000005,5,1.5,1.51657508881031,4,532.3650000000001,538.2476647696672,4,13,4613.83,6,Carrots,Fruits & Vegetables,"Subramanian, Chaudhuri and Dora",354.91,473.21,25.0,3,30,67,1.0110500592068734,1.0110500592068732,0.6666666666666666,798.5475000000001,0.24999471693328534,1,2023-08,2023-09,2023-11,6
818522,19,1825.71,8,3.1666666666666665,2.786873995477131,7,304.285,267.7907222253975,5,0,0.0,0,Cheese,Dairy & Breakfast,Hora-Roy,96.09,120.11,20.0,7,12,90,0.8800654722559361,0.8800654722559359,0.8333333333333334,365.142,0.19998334859711928,0,2023-08,2023-09,2023-11,6
462526,5,2249.8500000000004,3,0.8333333333333334,1.3291601358251257,3,374.9750000000001,598.082186317232,2,4,1799.88,2,Curd,Dairy & Breakfast,Pau and Sons,449.97,562.46,20.0,7,25,69,1.5949921629901507,1.594992162990151,0.3333333333333333,449.9700000000001,0.19999644419158696,0,2023-08,2023-09,2023-11,6
