product_id,product_name,category,brand,cutoff_month,target_start_month,target_end_month,future_3m_revenue,future_3m_quantity,future_revenue_rank,high_future_performance,hist_total_quantity,hist_total_revenue,hist_mean_monthly_quantity,hist_demand_cv,hist_sales_frequency,price,mrp,margin_percentage,discount_rate,shelf_life_days,best_model,classification_threshold,predicted_high_performance,probability_high_performance
557908,Vitamins,Pharmacy,Sundaram Inc,2024-06,2024-07,2024-09,7538.960000000001,8,13.0,1,44,41464.28,2.933333333333333,1.0345635426259783,0.6666666666666666,942.37,1177.96,20.0,0.19999830214947878,365,Random Forest Balanced,0.5399999999999998,1,0.9070796808728981
557908,Vitamins,Pharmacy,Sundaram Inc,2024-07,2024-08,2024-10,10366.070000000002,11,6.0,1,44,41464.28,2.75,1.0989601897350918,0.625,942.37,1177.96,20.0,0.19999830214947878,365,Random Forest Balanced,0.5399999999999998,1,0.8989156805554368
123983,Cough Syrup,Pharmacy,Kurian-Chhabra,2024-05,2024-06,2024-08,9428.039999999999,12,5.0,1,39,30641.129999999997,2.7857142857142856,1.3444762722598347,0.7142857142857143,785.67,982.09,20.0,0.20000203647323572,365,Random Forest Balanced,0.5399999999999998,1,0.8977503094008028
123983,Cough Syrup,Pharmacy,Kurian-Chhabra,2024-06,2024-07,2024-09,11785.05,15,3.0,1,39,30641.129999999997,2.6,1.4154085043373397,0.6666666666666666,785.67,982.09,20.0,0.20000203647323572,365,Random Forest Balanced,0.5399999999999998,1,0.8896230034776448
853932,Baby Wipes,Baby Care,Ranganathan-Peri,2024-05,2024-06,2024-08,6588.33,7,23.0,1,28,26353.32,2.0,0.9405399431259603,0.6428571428571429,941.19,1344.56,30.0,0.3000014874754566,365,Random Forest Balanced,0.5399999999999998,1,0.8641705634749864
803607,Soap,Personal Care,"Kadakia, Mohan and Sathe",2024-05,2024-06,2024-08,7597.84,8,12.0,1,27,25642.71,1.9285714285714286,1.0262976688752425,0.6428571428571429,949.73,1461.12,35.0,0.34999863118703456,365,Random Forest Balanced,0.5399999999999998,1,0.8552418588227916
367391,Baby Wipes,Baby Care,Talwar and Sons,2024-07,2024-08,2024-10,4697.75,5,53.0,1,29,27246.95,1.8125,1.1256389386539678,0.5625,939.55,1342.21,30.0,0.2999977648803094,365,Random Forest Balanced,0.5399999999999998,1,0.8452141350682402
18035,Dish Soap,Household Care,Ramesh Inc,2024-05,2024-06,2024-08,11627.280000000002,12,4.0,1,28,27130.320000000003,2.0,0.9805806756909202,0.5714285714285714,968.94,1291.92,25.0,0.25,365,Random Forest Balanced,0.5399999999999998,1,0.8448968047125339
82484,Baby Food,Baby Care,Mallick PLC,2024-05,2024-06,2024-08,7319.04,8,14.0,1,27,24701.76,1.9285714285714286,1.0850699548906682,0.6428571428571429,914.88,1306.97,30.0,0.2999992348714967,365,Random Forest Balanced,0.5399999999999998,1,0.8404535848073348
897083,Detergent,Household Care,Dutta-Halder,2024-06,2024-07,2024-09,3890.76,4,65.0,1,29,28208.010000000002,1.9333333333333333,1.2436350605184132,0.6,972.69,1296.92,25.0,0.25,365,Random Forest Balanced,0.5399999999999998,1,0.8320193000036021
